review_text,label,type
Ordered a Cherry Cola mocktails and the spicy seafood rice. Food and drinks was good,1,1
however service was poor. We had to wait nearly 30 minutes until a waiter noticed us and we could give our order. And even afterwards it took another 15 minutes to bring the drinks,0,2
"I have been here several times, and keep going back for more.",1,4
Love the ambience,1,3
Love the menu and the staff and the service.,1,2
"Great place to hangout with friends, specially after work.",1,4
Nice location,1,3
but the problem was poor customer service. They have not enough staff to serve to customers.,0,2
Dined yesterday (28th),1,4
as usual the food was scrumptious.,1,1
Great entertainment too. Loved the band,1,3
Great place to enjoy the evening with beach restaurant.,1,3
Worst at everything,0,4
Customer service is so low they took one hour to bring a water bottle,0,2
the seafood rice was a junk,0,2
It's always the best veiw,1,3
"double check the bill before paying, they add extra meals for the bill without even serving",0,2
love the layouts,1,3
people who serve you with pleasure,1,2
Good restaurant near beach,1,3
best for night,1,3
tasty food,1,1
high price but it's some worth,1,1
high class look,1,3
I'm happy about that place,1,3
Good place to hang out. My favourite place.,1,4
Choose the table on the beach ( sandy area ) and not inside. It's more relaxing outside with the breeze.,1,4
The music was very nice,1,3
the waiter Roshan was very friendly and good,1,2
The food was amazing. We ordered Nasi Goreng it was a big portion but the taste was fantastic and we also ordered Chicken Alfredo Pasta which was very creamy and delicious.,1,2
Alcohol is slightly higher priced but over all a great.,1,1
memorable experience,1,4
Waiters were really humble and professional service was given.,1,2
Best to go as a group of friends or for a nice romantic date night,1,4
One of the best places for sea food lovers. Super tasty foods to enjoy.,1,1
Awesome place next to the beach,1,3
"good food, huge portion size",1,1
Service is a tad bit slow though,0,2
One of the nice place to spend your dinner time with your family.,1,4
Amazing sea view and brezz.,1,3
Just try it out one day. Stay safe,1,4
This is my first visit to Barracuda.,1,4
Atmosphere is superb,1,3
food is superb,1,1
service is superb,1,2
The quantity and quality of the food is spot on.,1,1
I recommend this place to anyone.,1,4
Great place to have fresh seafood by the beach.,1,1
A bit pricey though.,0,1
One of the best place to hangout with friends and family,1,4
great music and great sea breeze,1,3
if you can go by around 4pm 4.30pm,1,4
better if you can prebook and go there,1,4
can take liquor from outside and if Bill goes greater than 12k the corkage free if not corkage will be around 1000 to 1500,0,4
great place to hangout,1,4
except for the fact of crossing the railway,0,4
The food was great and well worth the price.,1,1
The place borders the beach.,1,3
"Ambience is pretty good too, if you don't mind the sound of the occasional train.",1,3
Better reserve the table first after giving a call to them.,0,4
The ideal time is the evening.,1,4
The beach is quite dirty at the other side.,0,3
 you will experience great view of sunset,1,3
The food is lil bit pricy. Recomanded.,1,1
Ordered a small portion of batter fried cuttlefish and a mixed grill. Cuttlefish fish was good,1,1
but the mixed grill was really bad.,0,1
Half of the meat was gizzard and chicken liver which seemed cheap and the vegetables tasted old.,0,1
told our waiter about the vegetables and to pass the message to the chef but got no feedback or any kind of response from the chef.,0,2
You guys should have a much better mixed grill,0,1
You guys should have at least better customer service,0,2
