review_text,type
One of the best place to hangout with friends and family,4
great music and great sea breeze,3
if you can go by around 4pm 4.30pm,4
better if you can prebook and go there,4
can take liquor from outside and if Bill goes greater than 12k the corkage free if not corkage will be around 1000 to 1500,4
great place to hangout,4
except for the fact of crossing the railway,4
The food was great and well worth the price.,1
The place borders the beach.,3
"Ambience is pretty good too, if you don't mind the sound of the occasional train.",3
Better reserve the table first after giving a call to them.,4
The ideal time is the evening.,4
The beach is quite dirty at the other side.,3
 you will experience great view of sunset,3
The food is lil bit pricy. Recomanded.,1
Ordered a small portion of batter fried cuttlefish and a mixed grill. Cuttlefish fish was good,1
but the mixed grill was really bad.,1
Half of the meat was gizzard and chicken liver which seemed cheap and the vegetables tasted old.,1
told our waiter about the vegetables and to pass the message to the chef but got no feedback or any kind of response from the chef.,2
You guys should have a much better mixed grill,1
You guys should have at least better customer service,2
Amazing experience. ,4
Tasty Foods.,1
In Sri Lanka terms this is a budget sea front restaurant if u want to take your own booze.  ,4
 The place has a fairly decent beach front.,3
The ambience is good and also quite private.,3
Food is average at best and it's best to keep it at finger foods,1
"You have to be careful when you get to this place, as you have to go across the railway line.  The place got to much publicity when two teenagers who were careless crossed the railway and were run over by a train.  Since then the venue management has added more security who will blow the whistle and watch over as you cross the railway.",4
Superb sea food restaurant.   ,4
Crab green curry is yummy and recommend.,1
Chinese and Thai food served .,1
No bar. But you can take your own liquor.,1
 Yummy food . ,1
 Friendly staff. ,2
Take long time to arrange the order .,2
Little bit crowded.,4
"This is by far one of my favorite places to eat in Colombo, Sri Lanka.  I make it a point to visit here every time I come to Sri Lanka for a visit.",4
" Right off the beach, live music,It was amazing.",3
 The service is great and very friendly! Just LOVE it!!!,2
Calm and quiet place to have a lunch..,3
Interesting place considering that I am from the States... Had to walk over some train tracks to get to the front door.. but once inside... wow... what a cool place! ,3
We actually ate on the beach.. and you walk under a canopy of trees to get to the tables. I really enjoyed it.... ,3
 good customer service,2
Oh and the butter mushroom appetizer was awesome  ! Check it out !,1
This place is amazing. I had an amazing time here. customers can enjoy freely here.,4
 this place has a great ocean view. ,3
Very chilled out place for alfresco dining under the cover of trees and fairy lights.,3
 There is a Chinese menu and sizzler grill menu. ,1
 Ideal couples place in the evening but also had families there as well. ,4
 I have eaten a lot of Chinese food and this is up there with some of the Malaysian Chinese food I have eaten (never been to China or Hong Kong),1
"We tried the Chinese menu and the portions are big, fresh and delicious.",1
There is a no singing and dancing policy which we found hard to keep to as there was live sax music playing popular tunes at the time. ,4
Friendly and attentive waiters.,2
Awesome food. ,1
Very nicely presented and tasty as well. ,1
One of the best Phad Thai Goong and Red Curry I've ever had. ,1
Clean and very nice atmosphere. :),3
slow service,2
Good food ,1
" The only good thing about the hotel was they have lots of varieties including Chinese,  Japanese and thai food.",1
Service is also good and better reserve as it can be busy at nights but during day it's not that busyÖ,2
Good place to chill with a ice cold glass of beerÖ,4
Not suitable for family or kids because staffs don't know how to respect their customers.,2
Don't waste your money on the sweet n sour lobster.,3
"Would recommend the tables on the beach. Better do a reservation prior, in order to get a decent table.",1
Nice BYOB place.,4
suitable for children - they are quite entertained by the beach!,3
 Service for tables on the beach is available only after 6.,2
Go a bit early and enjoy a fabulous Colombo sunset over the ocean. Its a lovely stretch of as yet unspoiled beach.,3
We ordered Lasagna for kids but it was cold. ,1
"I've seen people celebrating b'days, proposals, anniversaries etc. It serves liquor, so sometimes it can be a bit crowded and loud.",4
A nice break out of  but still in Colombo. Near location for a quick beach side outing and lunch for kids.,4
Good location easy drive down the marine drive from Colombo.,4
They also offer corkage free of charge for liquor bottles. so you can take any number of bottles freely. Still you have to buy bites from them.,4
"The only reason I am giving one less star is the fact you have to cross the rail tracks to enter the hotel, I found that quite interesting.",4
 Food is very good.,1
Good place for sea food.,1
There is no dedicated parking space here.,4
 Nice place to have a chill out with friends and family.,4
" If you are going there to drink you can take alcohol from outside and if your bill is more than 14,000 they won't charge corkage... ",4
 They offer large portions of food at a reasonable price. Highly recommended.,1
 It started raining and we at the beach table getting wet.  Hotel doesn't have any measures to mitigate.  ,2
Despite the efforts of the Buddhist government to stop alcohol usage on poya day they were serving alcohol without any restrictions.,4
 Despite the beach and sea wind it was smelling bad. ,3
Music was monotonous. ,4
 Will always love to go there for Thai or Chinese. Keep it up :),1
Nice place,4
Very good seafood grill. Highly recommended,1
Service was very poor.  They didn't even provide paper tissues and water to the tables.  ,2
"Good place to enjoy an evening with friends, good food amazing beach and friendly service.",4
Food here is good and reasonably pricedÖ,1
One of the super place located in Dehiwala. It has a nice view of the beach as well. ,3
Great environment by the ocean. ,3
A chilled place right at a very convenient location. Been there a multiple times. Beach front. ,3
This place is ideal to have an evening meal with your friends. ,4
Had the chicken fried rice and some fish and a dry dish.  Food quality was good. ,1
Good place if you are looking for a beach restaurant with beach hut atmosphere in Colombo. ,3
Wanted a relaxing evening but it spoilt by the staff. When we complained about food their reaction were rude and aggressive. Didn't apologise for their fault or we could not meet the manager. ,2
Atmosphere was great ,3
 Food is really nice,1
food and cocktails were below average. ,1
 but takes ages to get the attention of a staff members to order something.,2
Had I been on familiar turf I would have refused to pay for the meal.  When I expressed my dissatisfaction to the maitre d' I was told the poor quality was my waiters fault(absurd).,2
" portion sizes are very small, consisting mainly of rice and fried cabbage.",1
Prices are on par with mixed grill restaurants around the world,1
The black pepper chicken also good but too much oil pieces instead of meat.,1
 Specially the hot butter cuttle fish. Is the best I had. ,1
 Has to wait for a long time to order and even to get cutlery sometimes.  ,2
Because of the very poor service standards I don't wanna go there again,2
Food is yummy.,1
 day by day their service is getting worse.,2
Has several 'mini' locations that can accommodate the public as well as small private functions at the same time.,4
 They have both indoor and outdoor areas available. ,3
Great food.,1
 if this place were busy I'm assuming the service would be much slower.,2
I still recommend this place as a four star location as the menu is huge and has alot of options. ,1
At any rate its still worth your time.,4
Good service,2
Highly recommended for beach chill out.,3
 This place have best coustomer service.,2
Overall meat platter tasted disgusting.,1
We couldnt eat it and just left the place feeling sick in our stomachs. ,1
"French fries were like rubber, hard and chewy. ",1
Vegetables tasted like they were cooked in sewer water and meat was hard and tasted like rubber.,1
Meat platter was 70% vegetables and meat was mostly chicken liver and gizzards which was ridiculous.  ,1
Unprofessional Staff behavior.,2
There is 10% service charge and 12% Vat to your bill,4
Food portions are very low comparing to nearby similar beach restaurants,1
 Food quality is disappointing when comparing to the price,1
Quick Service,2
"Try their hot butter cuttlefish! Also love their thai green veg curry, indonesian chicken curry and sizzlers.",1
Great place to meet with friends and family .  ,4
Great location and Ambiance,3
Just had the worst meat platter we've ever had.,1
Friendly staff ,2
 Food is delicious,1
This place have awesome foods and shisha. ,1
"They serve kan kung with grass in it , no apologise even though we showed it to manager... i rest my case there......",2
Good food. ,1
"Wow what to say... Portions lets start there, the small vermicelli chicken (Thai menu) was huge. It could easily feed 3ppl even for American portions. It was cooked how you'd expect and we kept digging in. ",1
Pretty chilled out atmosphere.  This place is right on the beach.,3
Place is super nice. ,3
Amazing atmosphere.,3
Nice and ambiance to chille out..,3
This is not a restaurant for those who appreciate good food.  Avoid at all costs.,1
Exceptionally poor quality seafood.  ,1
Ladies and children also can visit because there is a small beach area.,4
Thank you so much for making the celebration a wonderful experience.  Definitely consider Barracuda for a memorable experience of Sri Lanka.,4
  yummy hot butter cuttlefish! ,1
Walked in craving a good hot butter cuttlefish; craving satisfied!!,1
 The buffet and desserts were perfect. ,1
 waiter staff awesome,2
The view awesome.,3
We were initially hesitant to order the hot buttered cuttlefish as part of our set menu - although both Janeesha and Dinesh urged us to try it as it is their signature dish.  Well. we were not disappointed. It truely is the best dish.,1
Be careful when crossing the railway with kids if you're taking any.,4
Parking is done along the main road yet is safe. ,4
Many foreigners who love a shisha and a chat along with a nicemeal comes here. ,1
 The vegetable salad was out of this world.,1
"I found Chinese, Thai and seafood menus where I chose a vegetarian meal. The food was good.",1
The service is nicer.,2
The restaurant among the trees is also nice. ,3
"Although you have to use the beach at your own risk, I'd recommend it very much. ",3
 The breeze is so romantic that even couples could dine decently and then enjoy a little bit of the beach.,3
The hidden place along the gake road towards Dehiwala is quite ideal for friends and family who fancy a good meal facing the sea.,4
We held a function on Sunday 17/3/2019 for 35 people.  Dinesh and Janeesha were very accommodating even offering to help a few guests over the train tracks due to walkers and mobility issues. So dont let the train tracks stop you from going to this amazing beautiful place.,2
Beautiful place ,3
 sorry to say service is really poor. give some training to staff so they will make customers happy.,2
"Quick service.The staff was friendly and it's open 11 am to 11 pm, so coming in at an odd hour in between is no problem. ",2
We have booked the BBQ dinner each costing more than 2000/- per person. Staff bring pre prepared meal from kitchen and put chafing dishes. Light a grill for show only on a side.,4
Welcome drink comes with the glass only just above half full.,1
 Food stone cold and unpalatable. ,1
 the quality of the food has reduced.The Grilled Menu is very disappointing now.,1
No stewards around to clear even a plate. ,2
"Plus the staff there is pretty decent, polite and helpful.",2
Moderately expensive though but worth it for a night out,4
Crossing the Railway line to enter the Restaurant is pretty dangerous.,4
Pork dish was below average that your Cheff need more learning on how to do Pork.,1
Tasty food.,1
 Foods are really good..,1
Managers unresponsive and not the least friendly once money is paid.,2
 Please avoid at all costs they are only interested in money and not quality or service.,2
 It was a really horrible experience and ruined my daughter's special day. ,4
 Service is not but not fully satisfied.orders take considerable time to deliver but it might be because its crowded. Prior reservations are highly recommended.,2
But one thing i have to say there is no car park and customers should park their vehicles on the road. The issue is there is a guy collecting money saying he is the person who appointed by barracuda for secure of the vehicles. But when we ask a ticket for the parkings he has nothing to show.,4
Like most venues the live music is too loud. Ask for a table as far away from the stage as possible.,3
We wish they served alcohol but they do accept bringing bottles.,4
Friendly and flexible staff.,2
 I would give 6 out of 10 for cleanliness and 5 out of 10 for the quality of food.,1
Well done and keep up the great work Barracuda Team!!!,4
 Enjoy some cool shade during the day and a cool night breeze through the mangroves which shelter the property. ,3
Good place to have a drink. Bites were decent.,4
Didn't like the Chinese especially the rice.,1
 Good for group and family.,4
enjoyed the live music with the sea viewing experience.,4
"The food is absolutely amazing; offering a well made Chinese and Thai Menu, the chefs at Barracuda Sea Food & Grill will not disappoint. ",1
Good place for gathering. Special for nights.  Friendly service and fast service. ,2
"Barracuda is an excellent spot for any gathering! Be it family or friends, everyone can enjoy the ambience of a well place spot by the sea.",3
 you can buy your favourite drinks and enjoy it over there.They don't serve hard drinks.,4
 went with children and wasn't happy with the service. But for a couple who likes to be left alone and have a quiet dinner I would say pretty good.,2
Unique place and good sea breeze. Perfect for low light lovers. ,3
Our go-to place for an excellent Thai Red curry. The Thai beef stir fry is also really tasty. The hot butter cuttlefish was really popular amongst our friends. ,1
"Casual dining on the beach. Reasonable food choice. Naturally, sea food is the focus.",1
Fairly good. Prices are moderate. But it seems little when you even buy the largest potion. But the cost you pay is still high.,1
"Had my daughter's 14th birthday, function was to start at 6, was there by 5 to get the place ready. None of the function hall ACs working only blowing fam air. No managers to talk. Staff says will take 30 mins to cool. 6 pm still no managers AC still blowing hot air. Had to argue and get the function shifted out doors. Dusty and humid again but no alternative. Party about to start at 6.45. All of a sudden no power to Barracuda only. Everyone except barracuda got power. Staff says generator only to kitchen and cashier. Now 8.15 after more than 2 hours party starts. ",2
Nice and quite place to hang around with friends..,4
A good place to hangout with friends for a drink. ,4
Lovey food and drinks. Specially see foods. ,1
Very good ambience on the beach. ,3
"3 words bring me here always- Their HOT BUTTER CUTTLEFISH.
It's pretty much the only thing I ever order from them.It's the best!!!",1
Battered cuttlefish and other seafood were above very good. ,1
Food is tasty and I prefer sea side for dining.,1
Can have privet parties. Restaurant set up near the beach.  Tables are set in open sky place. Night time lovely and can have few hard drinks with your buddy's,4
The egg hoppers with the sambol & lunu miris was the lottery of the night. ,1
Price is not bad given the quality of the food. ,1
Well served.,2
Reasonable price for food quantity. Even Small portion of rice dishes are sufficient for 3 person.,1
nice sea beach view.,3
"The scary part of this place is the bill. They have so many variations of taxes to the bill and in the end the price ends up to be rather shocking. I mean seriously why not include all the taxes in the price, its not like any of us are exempt from paying them.",4
" The so called YAMU review for hot butter cuttle-fish gave me high expectations of this place. The squid was slightly rubbery giving me an impression that it was not fresh (possibly frozen) the batter was on point. However, overall the taste was average. ",1
you can ask for customizations.,4
 Somethings are a bit oily. ,1
Almost everything in the menu are great.,1
 I love their food menu.  ,1
The environment is good ,3
 food is okay.,1
 Maybe good place for local guys to impress local girls but not really worth visiting if you are a tourist.,4
It took a very long time to serve the food.,2
The main course was tasteless.,1
The mocktail was good.,1
in busy days you may not be lucky to get those places near beach mainly Saturday .,4
  The service was slow but it's a decent place if you aren't in a hurry and want to enjoy a nice view on the beach.,2
There was a live band that sang older rock songs.,4
" foods are great delicious.. Good selection including Chinese, sizzling, Thai etc..",1
Everything is really good. Food and it's pretty fast. ,1
The staff was absolutely fantastic.,2
 The dinner was lovely & helpful. Most of us vising from abroad felt like we're in heaven when we saw the food. ,1
"All in all, a revisit to this place is never a disappointment. Will be paying a visit again for sure.",4
Ideal for a romantic dinner out for a couple as well as a bunch of buddies to hang out and booze.,4
This was my second visit to Barraacuda. Location is just perfect. Love the set up.,3
Except that you have to bring your own booze. We crashed the place to have some beer and they had none.. So we ended up going to the station.,4
Good Place to hangout with Friends & Family. Good atmosphere.,3
Really Nice restaurant near the beach.,4
Nice place chill with friends  in evening.,4
Nice food. Has a wide variety of choice including Thai. ,1
Wondering place to spend evening time with Beer and Fries.,4
Food superb and no words to explain simply superb but price are high,1
I ordered a daquiri and sizzling fries and mashed potatoes. The daquiri was extremely fresh but my mashed potatoes were cold.,1
This another in raw of beach side restaurants .you can get a mixed feel of jungle and beach with candles .,3
Very good beach side restaurant in Dehiwala beach. Good environment & clean place. Not serving alcohol beverages but you can bring from out side. ,4
"Perfect place for relaxation. Enjoy music, walk-in on shore..",3
You may have to wait a little bit of time for your food to get prepared. ,1
Very expensive restaurant. ,4
Excellent foods and service.. portions are also worthy,1
My favorite beach restaurant in Colombo. Ideal place to sit back and have dinner while enjoying seas breezes and view. You'll bake to see sunset in most days.,3
"Kinda strange going to a restaurant that encourages BYOB since they no longer has a liquor license. But the Food was excellent and it's really nice to sit barefoot on the beach and eat. Definetly an experience, just remember to bring your beverages!",4
"No parking, have to park by the side of the main road in the hot sun and pay as well.",4
Lovely place next to the beach.,3
good ambience,3
"Great vibes , always a good time and you gotta love the view by the beach anyday :)",3
Good place for friends to have a beer and chill,4
I went here during an off-peak hour and they only had one waiter on staff.,2
"Decent crowd.. Better to reserve the table prior to visit, specially on Friday evening..",4
You can find various types of delicious food and many other stuff here.,1
Nice place to have chill out with friends. ,4
 But the crab doesn't worth the price at all. And as I said before a pace is pricy.,1
There are some liquor policies in this place. They not provide alcohol. But you can bring your own bottles have fun . ,4
Service is bit slow,2
Nice place and reasonable price..,4
Great Location right next to the beach. Nice Ambience. ,3
Good Food and cocktail. ,1
"We had this outdoor gathering, great atmosphere. Sense the ocean. The meals and accommodations they provided in finest way. ",3
Normally I go with my family to this place. Preferred for early reservation's. Service is good but bit late when it is crowded. Overall comment is this place is a good place to take your family and to have a good time.,4
Beautiful setting on the beach on a full moon night where we enjoyed the company of friends reunited after many years.,3
 The ambience was breathtakingly beautiful and the staff were helpful.,3
A warm and friendly welcome with fantastic customer service. ,2
"Always great, tasty food served piping hot- just the way I like it. I would definitely recommend it.",1
 outside huts are really hot and they don't have sufficient fans to cater the total floor area. I suffered with my one year old daughter.,3
Lovely place to hang around with friends on a late evening. Good ambiance.,3
"Beautiful location, perfect view of the beach and great for sunsets. ",3
Food could do with some improvement.,1
Good but not the best,4
"Awesome food, reasonable prices. ",1
 The night time ambience is the best.,3
These guys have one of the best Hot Butter Cuttlefish.,1
" In general, they have a lovely environment to chill out. There is a special area for corporate functions too.",3
Poor service. We had to wait in a not at all busy afternoon (there were only 3 tables full) for more than 30 minutes till someone took our order that too after we called out to one of the staff.,2
 We asked for a mushroom butter fry appetizer which had more flavouring powders in the batter like someone sprinkeled those flavour packets which come with instant noodles over it.Then the spoon we were given for serving soup was clearly not washed properly. ,1
The nightmare didn't end there as last we ordered a seafood combo meal from the grill. The cauliflower was spoilt in the veges they served with it!!! ,1
We came out paying 4250/= for waiting too long  and unsanitary food. Needless to say wont be visiting again.,4
"Nice and tasty food, specially the mix grill.",1
staff is friendly but crowded in weekends and Friday night better book before you go.,2
Best thing about barracuda is you don't have to wait long for your food. They're just superfast even if the restuarant is fully packed. And its delicious.,2
Decent place with nice ambiance. More suitable for hangouts and mini get. They don't provide liquor. So you have to bring you own.,4
Do not ever buy barracuda mix Grill.you will receive few bites of chicken pieces and small piece of beef with fried egg and half boil vegetables.its not a grill just a fried. We delivered through Uber. Worst meal we had. disappointed!!!!!!!!,1
Friendly service. Recommended,2
Good food and good place to have meet ups with your friends. ,4
opens till very late but food needs to be order by 10.30pm. ,4
Average priced place to spend your evening with friends. Seafood items are delicious. I like black peper pork devel among all dishes.,1
Serves superior Thai and Chinese food. ,1
Great place on the beach. Nice to be able to walk around the beach until good is ready. ,3
Carefully check your bill. I got some list of food that I did not order. The service also not impressed. ,2
Food taste are average.,1
while ordering the same dish for the second time the portion is very low. When questioned by us the waiters were not able to answer instead somehow tried to cover it up.,2
I was very disappointed on the attitude of staff of Barakuda. Visited yesterday around 10pm with 5 of my friends. There was no person to set up us a table and finally whn did it was 10:20. It was not a busy day but they were so lazy to take an order n finally said the kitchen is close.  ,2
I feel people also reducing gradually coz your staff is not customer friendly..,2
we r high spenders n did not want to destroy our moods coz some useless disappointing unprofessional behaviour by ur staff.,2
i will not recommend or visit with my corporate network in future..im sure you all will close down soon,4
Good place to chill and have some thing delicious..,4
"Good food, reasonably priced, nice place to relax and have a decent meal.",1
Superb atmosphere.  But the view and the atmosphere helps put up with it.,3
"The management is really rude, service times and really long.",2
"Service was horrible. They didn't have a crowd but yet refused us a table by the beach saying it was too big yet we saw another couple eating at the same big table behind us. Took our business to The Station instead, service was leaps better.",2
Good beach resturants with choices of sea food dishes.,1
"placed on sandy beaches , you can feel the breeze of sea and enjoying a drink with friends.",3
I am here giving this place 5 Stars and I love the place and their food was delicious deserve hundreds stars from Us ç,1
Nice place. Bit expensive but worth it in terms of portion size. ,1
Dissapointed that they do not take it on themselves to regularly clean the beach infront of of them though.,3
Nice place and nice ambience. ,3
good place to catch-up with friends.  ,4
However the quality of food and the service has deteriorated overtime. There are many beach front restaurants towards dehiwala that offer value for money service relative to Barracuda.,4
dining under the stars with sound of breaking waves is romantic.,3
Omg most disgusting place to eat and smoke shisha. I saw a fat ass rat running around and a mangy cat hunting it. ,4
 Seriously don't come here - dirty and annoying place to be.,4
"The drinks are crazy watered down (even  the juices!) The shisha guys have no idea about quality - baccy is dry, they don't maintain the coal (which BTW is the cheap chemical kind) and they charge to replace coal as it dies down instead of having a steady stream of replacements as you smoke.",1
Waited 25 mins and asked 6 waiters to have order taken and the place was empty. ,2
Tends to be crowded so book your table of you are planing an evening here,4
Good place to have meals with family also. ,4
Good place for outdoor dining,3
" even the menu is very small, few grillers and so",1
" too loud music, one of d worst places to spend the evening",3
"Don't ever go on a Saturday, worst customer service ever, they take more than one hour to deliver a French fries, when call they say no reservations needed, n we go, there is no table,",2
Food is okay but very pricey!!!,1
 Some staff not wearing masks.,2
Unreasonable prices for food,1
A gem in Colombo. One of the best seafood spots with a great view of the ocean. Live music and the lanterns make you fall in love with food.,3
Beverages are perfect.,1
 Some food tastes artificial flavours. ,1
New year evening DJ is zero. Its like some audio recording is playing.,4
"Poor service, delaynin serving feel me like not to go again",2
 you can eat Sri Lankan style BBQ and sea food items. Taste is not bad at all. Tax seems more for me.,1
I will never come to this place.bad service.,2
Disappointed. I ordered fresh juice but they refused my order and force to buy a lunch.They should serve what I want. I can't eat for them,2
And it's right by the beach so no complaints.,3
Amazing food. Reasonable prices. ,1
Great entertainment.Good place to grab a beer and chill,4
 tasty food. Must try the hot butter cuttlefish dish for sure...,1
very nice environment ,3
"Good place, prices are not little more than average, Tasty food, and you can bring your own alcohol. ",1
Overall good place to meet up with a bunch of friends with the beach view..,3
Good food. Hot butter cuttlefish is their signature. ,1
A great hangout location ,4
but sometimes it's difficult to get hold of a table due to being crowded.,4
 Super band and the hot butter cuttlefish was just perfect...,1
Loved the ambiance. My first time to barracuda and will definitely visit again.,3
so relaxing and love the beach view. good for group dining as well for couples. better if you go there at evening because cae enjoy in the beach also.,3
Really good and fresh sea foods with excellent star class service. Can recommend to everyone. ,1
Love the beach front dining...,3
Great place to have dinner or lunch with beer. Price is also ok.,1
Food was excellent,1
 service is a bit slow but you can use the time to walk down the beach.  Overall place is quite nice. ,3
 Make reservations because the place gets pretty crowded.,4
"The food is pretty decent, but dishes are a bit expensive but at the end of the day they're worth the price.",1
Waiter smells so bad ! Sweat smell everywhere! Waiters should wear deodorant ! I feel like vomiting now.,2
Food: Excellent Food!,1
Location: Average. Private beach is a good option,3
Difficult make loud noises ( Music bands/DJs) because of Nabour complains. ,4
Good for Office outings,4
 They offer nice foods.,1
Nice place to have a drink in the evening by the sea. You can bring your liquor and you have to perchase any dishes from here.,4
 The experience doubles and sometimes triples when the weather is great with the sea breeze.,3
my go to place to hang out with friends and colleagues.,4
 Beware of the train that silently approaches since you have to cross TWO train tracks to get there,4
Food is quite good and prices are comparable. ,1
Great place to enjoy an evening meal. ,4
some foods not reasonable eg. garlic bread around Rs. 400 ,1
 it was an awful experience. We waited an hour and a half for food and when it came it was the wrong order. Definently not coming back!,2
 visiting lovely people and if you are smart you can have a date with preferred one.,4
"Safe, ample parking,",4
Perfect place in own to have a drink peacefully with your loved ones and friends. ,4
Good Atmosphere. Tables on the sands under the trees. Decent crowds. Loved it.,3
Food is good. Charges a reasonable price for meals. Good place for a drink and chill. Can take your own bottles.,1
" No bar. Food is great with a lot of choice Thai, Chinese, grills n sizzlers",1
staff is very friendly and helpful. Service is great and timely. ,2
Good place to have a quite decent meal. ,1
Staff is friendly and advise about dishes. ,2
Near the beach location is perfect for a get together.,3
Good tasty food. Worth the price. ,1
One of the best placed we visited during our Sri Lankan vacation. ,4
The Thai food was tasting great and the cosy place. ,1
However it was only broken by the very near by train tracks.,4
Barracuda is known for its hot butter cuttlefish ( battered cuttlefish with chilliflakes) and its prices are reasonable,1
location is ideal with a sea view and option to reserve tables on the private beach.,3
 Only minus is the safety where it's located opposite railway tracks with no protection.,4
Can BYOB with no corkage.,4
Good food on offer at decent prices. The hot butter cuttlefish is must to have if you're here. ,1
Overall a good place to chill.,4
One waiter stole our buddies pack of smoke. ,2
 The ambiance isn't great as it used to be.,3
ordered a pineapple juice which tasted like a cool ginger tea.,1
Nice place to enjoy and have a relaxing evening.,4
Nice atmosphere. Best at night.,3
service is very fast,2
Food is in large portions ,1
Very cozy place.,4
 Alcohol can be brought from outside and they get ride of cocage if the bill is above 5 thoudand  which is nice. ,4
The food is served on a extrem hot plate which burns everything directly on it,1
 Also no corkage charges in this place.. Good for parties..,4
Overall everything was perfect Mt Lavinia beach was good we feel the sea breeze as well.,3
Food is OK. Fairly expensive.,1
Very relaxing place. Nice music. ,3
One of the best place to have dinner,4
"Nice place by the beach. Nice set up for group get-togethers. I like the outdoor seating, on the beach.",3
Suits for group outings.,4
The fried crab starter was absolutely mind blowing and the rest of our dishes were perfect. Nice on the beach dinner. An absolute must.,1
"Near by beach is great. Swimming OK, life savers are there in day time.",3
 it's crowded. There I would suggest to make a reservation. ,4
Wicked palace in colombo staff member called Thushanth was amazing.,2
 Staff was friendly and helped decide what to order and how much to order. Food was quickly delivered. Highly recommend the place,2
nice soothing live music and the breeze from the sea...awesome time spent....,3
the service was pitiful.  ,2
Nice place to spend,4
Superb place for chill ,4
Also had to return battered mushrooms as it was terrible,1
Food was awesome. Worth the time and money. Highly recommended.,1
Staff sort of chases you away when its past 12 even if you are towards beach side.they grab your chairs and say its management decision to remove paying customers after 12. ,2
Good place to hang out with your friends and family.  sorrounding with the sea front will make you relax.,3
They have a reasonable food menu ,1
Super place to catch up with some friends for a meal and/or a drink. I'll definitely be back!,4
expensive for mediocre food.,1
" even when ordering the same meal, the size of potion varies alot and food is not upto standard either.  ",1
quality of food is not maintained.,1
Outdoor seating at beach. Indoor also available. Outdoor is the best option for dinner.,3
Nice staff except the lady who act as a team leader/supervisor or whatever. ,2
customer service is not satisfactory,2
"Do not eat at this restaurant- we ordered crab it was old stale and disgusting, we also ordered a whole fish which we NEVER got. Its overpriced. Go somewhere else.",1
Highly disappointed. Food is not the same as it was before and portions are reduced. ,1
Not worth for the money spent. Simply Barracuda is not the place to be anymore,4
Very poor service.I would strongly not recommend anyone to have a meal here.,2
This restaurant was told one of the best but doesn't have proper emergency backup generator facilities in an instance  of a power cut.We had to wait about ONE HOUR for the generators to be functioning and for our order to be accepted.,4
 Great food. Don't forget to try the Hot battered cuttlefish here.,1
The Fried rice dishes were terrible the second time around. ,1
Great ambience.  Nice liver music!,3
Excellent sea restaurant experience. Outdoor  and indoor seating areas.  Ideal for gatherings and parties.,3
Parking is available alongside the road.,4
Good place and very next to beach. Best part is you can carry your liquor and order food from there.,4
bad service. After finishing the meal took more than one hour to clear it. 0 service and bad attitude of the staff. No eye contact at all.,2
It was a creative and a nice calm place. it was a really good experience. Plus loved the view .,3
 poor  hygiene  specifically  table clothes,4
they have their own bar if you are going for a drink...good place to hangout with your fiends..,4
A lovely restaurant situated near the beach.  The staff is very polite and friendly.,2
no proper seating plan.,4
We really enjoyed the time we had up there. Nice place by the sea. Good for a quick night out...,3
"Delicious food, fair corkage. ",1
Simply a lovely experience along a very clean beach,3
Fantastic customer service,2
"Fantastic food, fantastic taste",1
 breathtaking environment. It's an idea place for a person/group to enjoy.,3
Excellent place to have dinner with your family. Live band was played.,4
 Sea food dishes are the signature once here.,1
"Good place for a day outing , people are nice, recommended ...!",4
Worst restaurant ever. the manager and the waiters are rude. Never coming back to this place again.,2
It's a good place to hang out with long missed friends for a drink or a family dinner with the view of the Sea. ,4
Under the trees shade which is nice feeling and cool effect even at very Hot days,3
It's a nice place by the beach to meet up with friends and BYOB. ,4
 the service is absolutely horrible. They take ages to get you cutlery and ice,2
 the service of the staff could use some improvement.  ,2
But packed on weekends,4
Very  nice  place  to hung arround. Next to beach . ,3
Great foods with great taste. Each dish has its own flavor. ,1
The service will be little bit disappointing on busy days.,2
Good place but crowded,4
 the food is bit on the oily side though.,1
can even rent out their extention for events.,4
Very cheep place! No service. They treated us as very cheep!! Hate that place and i never go there agin.they wasted my time and happy as well.my surprise dinner they wasted! Hate barracuda!,2
Cool place by the sea.  Felling happy for dining at Barracuda last night.,3
Tofu was creamy n like it with fried rice.,1
Beautiful restaurant right on the beach in Wellawatha. Live music on some days.,3
Good selection of Thai food as well. ,1
No parking. Have to park on road. On road enough parking space available.,4
"Bad welcome,no customer service",2
Very poor customer communications,2
Specially need to train staff and also need to train decepline and attitudes,2
Very nice place so much fun .. music is very good,3
We went there my daughter came after 20 years to Sri Lanka and wanted a table out side. the guy with the white tee shirt said it was under reservation but no one came till we left he gave other people tables with out reservations. ,2
 I will never go there to see the face that nasty guys face complained to the manager I think his name was indika,2
 infrastructure and venue should be renovated,3
"The price with service charge, VAT & NBT is a bit high.",4
There was a rat running around on the sand floor.,4
tasty food. Wide variety of dishes to choose from,1
Nice atmosphere and our table was on the beach,3
Cosy place near the beach. Ideal place to relax after busy day. ,3
Nice sea food and Sri Lankan foods. ,4
Limited parking is the only problem.,4
"Awesome place, great to meet friends and have a family get together alike.",4
 The staff has always treated us well ,2
Highly recommended.. Awesome food..  Make sure to order their hot butter cuttlefish. The best!,1
love their food especially their hot butter cuttlefish.,1
"One of the best places I like to go for an evening chill-out, ",4
lovely bar and the food is great... specially the BBQ chicken wings..,1
" good seafood, little bit pricey",1
"good place to go for a drink with the mates, also has a bring your booze system.",4
"Nice location, tranquil ambience",3
price is soo high..foods and bites..,1
